seed,block_size,threshold,counter_value,count,fraction
0,64,8,-59,1,3.924184750618059e-06
0,64,8,-52,2,7.848369501236118e-06
0,64,8,-49,1,3.924184750618059e-06
0,64,8,-48,1,3.924184750618059e-06
0,64,8,-47,2,7.848369501236118e-06
0,64,8,-46,2,7.848369501236118e-06
0,64,8,-43,1,3.924184750618059e-06
0,64,8,-42,1,3.924184750618059e-06
0,64,8,-40,4,1.5696739002472237e-05
0,64,8,-39,3,1.1772554251854177e-05
0,64,8,-38,5,1.9620923753090295e-05
0,64,8,-37,7,2.7469293254326415e-05
0,64,8,-36,7,2.7469293254326415e-05
0,64,8,-35,8,3.1393478004944474e-05
0,64,8,-34,12,4.709021700741671e-05
0,64,8,-33,13,5.101440175803477e-05
0,64,8,-32,18,7.063532551112506e-05
0,64,8,-31,19,7.455951026174313e-05
0,64,8,-30,27,0.00010595298826668759
0,64,8,-29,24,9.418043401483341e-05
0,64,8,-28,27,0.00010595298826668759
0,64,8,-27,43,0.00016873994427657655
0,64,8,-26,63,0.00024722363928893773
0,64,8,-25,78,0.0003060864105482086
0,64,8,-24,87,0.00034140407330377116
0,64,8,-23,132,0.0005179923870815838
0,64,8,-22,161,0.0006317937448495076
0,64,8,-21,219,0.000859396460385355
0,64,8,-20,277,0.0010869991759212025
0,64,8,-19,406,0.001593219008750932
0,64,8,-18,477,0.0018718361260448141
0,64,8,-17,671,0.0026331279676647177
0,64,8,-16,901,0.0035356904603068714
0,64,8,-15,1216,0.00477180865675156
0,64,8,-14,1580,0.006200211905976533
0,64,8,-13,2130,0.008358513518816465
0,64,8,-12,2707,0.010622768119923087
0,64,8,-11,3325,0.013047914295805046
0,64,8,-10,4461,0.017505788172507163
0,64,8,-9,5553,0.021790997920182083
0,64,8,-8,6812,0.02673154652121022
0,64,8,-7,8154,0.03199780245653965
0,64,8,-6,9764,0.03831573990503473
0,64,8,-5,11528,0.04523800180512499
0,64,8,-4,12882,0.050551347957461835
0,64,8,-3,14492,0.05686928540595691
0,64,8,-2,15524,0.060919044068594747
0,64,8,-1,16267,0.06383471333830397
0,64,8,0,16334,0.06409763371659538
0,64,8,1,16012,0.06283404622689637
0,64,8,2,15358,0.060267629399992154
0,64,8,3,14277,0.05602558568457403
0,64,8,4,12924,0.0507161637169878
0,64,8,5,11199,0.04394694502217164
0,64,8,6,9710,0.038103833928501356
0,64,8,7,8005,0.031413098928697564
0,64,8,8,6501,0.025511125063768004
0,64,8,9,5347,0.02098261586155476
0,64,8,10,4180,0.016403092257583487
0,64,8,11,3317,0.013016520817800102
0,64,8,12,2602,0.01021072872110819
0,64,8,13,2012,0.007895459718243535
0,64,8,14,1505,0.005905898049680179
0,64,8,15,1207,0.004736490993995997
0,64,8,16,924,0.0036259467095710865
0,64,8,17,706,0.0027704744339363497
0,64,8,18,558,0.002189695090844877
0,64,8,19,443,0.0017384138445238001
0,64,8,20,350,0.0013734646627163206
0,64,8,21,249,0.0009771220029038967
0,64,8,22,214,0.0008397755366322646
0,64,8,23,159,0.0006239453753482714
0,64,8,24,123,0.00048267472432602125
0,64,8,25,104,0.00040811521406427815
0,64,8,26,93,0.0003649491818074795
0,64,8,27,64,0.0002511478240395558
0,64,8,28,45,0.00017658831377781266
0,64,8,29,42,0.00016481575952595847
0,64,8,30,29,0.00011380135776792372
0,64,8,31,22,8.63320645135973e-05
0,64,8,32,20,7.848369501236118e-05
0,64,8,33,16,6.278695600988895e-05
